Vehicle_optimal_time_0/Current_pad_speed_0,Vehicle_circuit_time_0/Distance_to_destination_pad_0,Vehicle_current_speed_0/Next_station_pad_0,Vehicle_average_speed_0,Vehicle_departure_station_0,Vehicle_arrival_station_0,Vehicle_optimal_time_1/Current_pad_speed_1,Vehicle_circuit_time_1/Distance_to_destination_pad_1,Vehicle_current_speed_1/Next_station_pad_1,Vehicle_average_speed_1,Vehicle_departure_station_1,Vehicle_arrival_station_1,Iteration
300.000000,10.100000,50.031000,25.111654,0,1,300.000000,5.100000,50.031000,25.015500,0,1,51
300.000000,10.200000,49.969000,25.580660,0,1,300.000000,5.200000,49.969000,25.486321,0,1,52
300.000000,10.300000,50.031000,26.033444,0,1,300.000000,5.300000,50.031000,25.940852,0,1,53
300.000000,10.400000,49.969000,26.468636,0,1,300.000000,5.400000,49.969000,26.377727,0,1,54
300.000000,10.500000,50.031000,26.889393,0,1,300.000000,5.500000,50.031000,26.800107,0,1,55
300.000000,10.600000,49.969000,27.294298,0,1,300.000000,5.600000,49.969000,27.206579,0,1,56
300.000000,10.700000,50.031000,27.686310,0,1,300.000000,5.700000,50.031000,27.600103,0,1,57
300.000000,10.800000,49.969000,28.063983,0,1,300.000000,5.800000,49.969000,27.979237,0,1,58
300.000000,10.900000,50.031000,28.430100,0,1,300.000000,5.900000,50.031000,28.346767,0,1,59
300.000000,11.000000,49.969000,28.783197,0,1,300.000000,6.000000,49.969000,28.701230,0,1,60
300.000000,11.100000,50.031000,29.125903,0,1,300.000000,6.100000,50.031000,29.045258,0,1,61
300.000000,11.200000,49.969000,29.456746,0,1,300.000000,6.200000,49.969000,29.377381,0,1,62
300.000000,11.300000,50.031000,29.778219,0,1,300.000000,6.300000,50.031000,29.700094,0,1,63
300.000000,11.400000,49.969000,30.088846,0,1,300.000000,6.400000,49.969000,30.011923,0,1,64
300.000000,11.500000,50.031000,30.391000,0,1,300.000000,6.500000,50.031000,30.315242,0,1,65
300.000000,11.600000,49.969000,30.683209,0,1,300.000000,6.600000,49.969000,30.608582,0,1,66
300.000000,11.700000,50.031000,30.967735,0,1,300.000000,6.700000,50.031000,30.894206,0,1,67
300.000000,11.800000,49.969000,31.243116,0,1,300.000000,6.800000,49.969000,31.170652,0,1,68
300.000000,11.900000,50.031000,31.511514,0,1,300.000000,6.900000,50.031000,31.440086,0,1,69
300.000000,12.000000,49.969000,31.771479,0,1,300.000000,7.000000,49.969000,31.701056,0,1,70
300.000000,12.100000,50.031000,32.025083,0,1,300.000000,7.100000,50.031000,31.955639,0,1,71
300.000000,12.200000,49.969000,32.270890,0,1,300.000000,7.200000,49.969000,32.202397,0,1,72
300.000000,12.300000,50.031000,32.510892,0,1,300.000000,7.300000,50.031000,32.443324,0,1,73
300.000000,12.400000,49.969000,32.743667,0,1,300.000000,7.400000,49.969000,32.677000,0,1,74
300.000000,12.500000,50.031000,32.971132,0,1,300.000000,7.500000,50.031000,32.905342,0,1,75
300.000000,12.600000,49.969000,33.191883,0,1,300.000000,7.600000,49.969000,33.126948,0,1,76
300.000000,12.700000,50.031000,33.407769,0,1,300.000000,7.700000,50.031000,33.343667,0,1,77
300.000000,12.800000,49.969000,33.617405,0,1,300.000000,7.800000,49.969000,33.554114,0,1,78
300.000000,12.900000,50.031000,33.822575,0,1,300.000000,7.900000,50.031000,33.760075,0,1,79
300.000000,13.000000,49.969000,34.021914,0,1,300.000000,8.000000,49.969000,33.960185,0,1,80
300.000000,13.100000,50.031000,34.217146,0,1,300.000000,8.100000,50.031000,34.156171,0,1,81
300.000000,13.200000,49.969000,34.406928,0,1,300.000000,8.200000,49.969000,34.346687,0,1,82
300.000000,13.300000,50.031000,34.592929,0,1,300.000000,8.300000,50.031000,34.533405,0,1,83
300.000000,13.400000,49.969000,34.773824,0,1,300.000000,8.400000,49.969000,34.715000,0,1,84
300.000000,13.500000,50.031000,34.951233,0,1,300.000000,8.500000,50.031000,34.893093,0,1,85
300.000000,13.600000,49.969000,35.123851,0,1,300.000000,8.600000,49.969000,35.066379,0,1,86
300.000000,13.700000,50.031000,35.293250,0,1,300.000000,8.700000,50.031000,35.236432,0,1,87
300.000000,13.800000,49.969000,35.458146,0,1,300.000000,8.800000,49.969000,35.401966,0,1,88
300.000000,13.900000,50.031000,35.620067,0,1,300.000000,8.900000,50.031000,35.564511,0,1,89
300.000000,14.000000,49.969000,35.777747,0,1,300.000000,9.000000,49.969000,35.722802,0,1,90
300.000000,14.100000,50.031000,35.932674,0,1,300.000000,9.100000,50.031000,35.878326,0,1,91
300.000000,14.200000,49.969000,36.083602,0,1,300.000000,9.200000,49.969000,36.029839,0,1,92
300.000000,14.300000,50.031000,36.231979,0,1,300.000000,9.300000,50.031000,36.178787,0,1,93
300.000000,14.400000,49.969000,36.376579,0,1,300.000000,9.400000,49.969000,36.323947,0,1,94
300.000000,14.500000,50.031000,36.518813,0,1,300.000000,9.500000,50.031000,36.466729,0,1,95
300.000000,14.600000,49.969000,36.657474,0,1,300.000000,9.600000,49.969000,36.605928,0,1,96
300.000000,14.700000,50.031000,36.793939,0,1,300.000000,9.700000,50.031000,36.742918,0,1,97
300.000000,14.800000,49.969000,36.927020,0,1,300.000000,9.800000,49.969000,36.876515,0,1,98
300.000000,14.900000,50.031000,37.058060,0,1,300.000000,9.900000,50.031000,37.008060,0,1,99
300.000000,15.000000,49.969000,37.185891,0,1,300.000000,10.000000,49.969000,37.136386,0,1,100
300.000000,15.100000,50.031000,37.311824,0,1,300.000000,10.100000,50.031000,37.262804,0,1,101
300.000000,15.200000,49.969000,37.434709,0,1,300.000000,10.200000,49.969000,37.386165,0,1,102
300.000000,15.300000,50.031000,37.555827,0,1,300.000000,10.300000,50.031000,37.507750,0,1,103
300.000000,15.400000,49.969000,37.674048,0,1,300.000000,10.400000,49.969000,37.626429,0,1,104
300.000000,15.500000,50.031000,37.790623,0,1,300.000000,10.500000,50.031000,37.743453,0,1,105
300.000000,15.600000,49.969000,37.904439,0,1,300.000000,10.600000,49.969000,37.857710,0,1,106
300.000000,15.700000,50.031000,38.016722,0,1,300.000000,10.700000,50.031000,37.970426,0,1,107
300.000000,15.800000,49.969000,38.126376,0,1,300.000000,10.800000,49.969000,38.080505,0,1,108
300.000000,15.900000,50.031000,38.234600,0,1,300.000000,10.900000,50.031000,38.189145,0,1,109
300.000000,16.000000,49.969000,38.340315,0,1,300.000000,11.000000,49.969000,38.295270,0,1,110
300.000000,16.100000,50.031000,38.444696,0,1,300.000000,11.100000,50.031000,38.400054,0,1,111
300.000000,16.200000,49.969000,38.546681,0,1,300.000000,11.200000,49.969000,38.502434,0,1,112
300.000000,16.300000,50.031000,38.647421,0,1,300.000000,11.300000,50.031000,38.603561,0,1,113
300.000000,16.400000,49.969000,38.745870,0,1,300.000000,11.400000,49.969000,38.702391,0,1,114
300.000000,16.500000,50.031000,38.843155,0,1,300.000000,11.500000,50.031000,38.800052,0,1,115
300.000000,16.600000,49.969000,38.938248,0,1,300.000000,11.600000,49.969000,38.895513,0,1,116
300.000000,16.700000,50.031000,39.032254,0,1,300.000000,11.700000,50.031000,38.989881,0,1,117
300.000000,16.800000,49.969000,39.124160,0,1,300.000000,11.800000,49.969000,39.082143,0,1,118
300.000000,16.900000,50.031000,39.215050,0,1,300.000000,11.900000,50.031000,39.173383,0,1,119
300.000000,17.000000,49.969000,39.303926,0,1,300.000000,12.000000,49.969000,39.262603,0,1,120
300.000000,17.100000,50.031000,39.391852,0,1,300.000000,12.100000,50.031000,39.350869,0,1,121
300.000000,17.200000,49.969000,39.477846,0,1,300.000000,12.200000,49.969000,39.437195,0,1,122
300.000000,17.300000,50.031000,39.562952,0,1,300.000000,12.300000,50.031000,39.522629,0,1,123
300.000000,17.400000,49.969000,39.646200,0,1,300.000000,12.400000,49.969000,39.606200,0,1,124
300.000000,17.500000,50.031000,39.728619,0,1,300.000000,12.500000,50.031000,39.688937,0,1,125
300.000000,17.600000,49.969000,39.809252,0,1,300.000000,12.600000,49.969000,39.769882,0,1,126
300.000000,17.700000,50.031000,39.889109,0,1,300.000000,12.700000,50.031000,39.850047,0,1,127
300.000000,17.800000,49.969000,39.967248,0,1,300.000000,12.800000,49.969000,39.928488,0,1,128
300.000000,17.900000,50.031000,40.044662,0,1,300.000000,12.900000,50.031000,40.006200,0,1,129
300.000000,18.000000,49.969000,40.120420,0,1,300.000000,13.000000,49.969000,40.082252,0,1,130
300.000000,18.100000,50.031000,40.195500,0,1,300.000000,13.100000,50.031000,40.157621,0,1,131
300.000000,18.200000,49.969000,40.268985,0,1,300.000000,13.200000,49.969000,40.231391,0,1,132
300.000000,18.300000,50.031000,40.341836,0,1,300.000000,13.300000,50.031000,40.304522,0,1,133
300.000000,18.400000,49.969000,40.413148,0,1,300.000000,13.400000,49.969000,40.376111,0,1,134
300.000000,18.500000,50.031000,40.483868,0,1,300.000000,13.500000,50.031000,40.447103,0,1,135
300.000000,18.600000,49.969000,40.553102,0,1,300.000000,13.600000,49.969000,40.516606,0,1,136
300.000000,18.700000,50.031000,40.621783,0,1,300.000000,13.700000,50.031000,40.585551,0,1,137
300.000000,18.800000,49.969000,40.689029,0,1,300.000000,13.800000,49.969000,40.653058,0,1,138
300.000000,18.900000,50.031000,40.755757,0,1,300.000000,13.900000,50.031000,40.720043,0,1,139
300.000000,19.000000,49.969000,40.821099,0,1,300.000000,14.000000,49.969000,40.785638,0,1,140
300.000000,19.100000,50.031000,40.885958,0,1,300.000000,14.100000,50.031000,40.850746,0,1,141
300.000000,19.200000,49.969000,40.949476,0,1,300.000000,14.200000,49.969000,40.914510,0,1,142
300.000000,19.300000,50.031000,41.012542,0,1,300.000000,14.300000,50.031000,40.977819,0,1,143
300.000000,19.400000,49.969000,41.074310,0,1,300.000000,14.400000,49.969000,41.039828,0,1,144
300.000000,19.500000,50.031000,41.135658,0,1,300.000000,14.500000,50.031000,41.101411,0,1,145
300.000000,19.600000,49.969000,41.195748,0,1,300.000000,14.600000,49.969000,41.161735,0,1,146
300.000000,19.700000,50.031000,41.255446,0,1,300.000000,14.700000,50.031000,41.221662,0,1,147
300.000000,19.800000,49.969000,41.313926,0,1,300.000000,14.800000,49.969000,41.280369,0,1,148
300.000000,19.900000,50.031000,41.372040,0,1,300.000000,14.900000,50.031000,41.338707,0,1,149
300.000000,20.000000,49.969000,41.428974,0,1,300.000000,15.000000,49.969000,41.395861,0,1,150
300.000000,20.100000,50.031000,41.485566,0,1,300.000000,15.100000,50.031000,41.452671,0,1,151
300.000000,20.200000,49.969000,41.541013,0,1,300.000000,15.200000,49.969000,41.508333,0,1,152
300.000000,20.300000,50.031000,41.596143,0,1,300.000000,15.300000,50.031000,41.563675,0,1,153
300.000000,20.400000,49.969000,41.650161,0,1,300.000000,15.400000,49.969000,41.617903,0,1,154
300.000000,20.500000,50.031000,41.703885,0,1,300.000000,15.500000,50.031000,41.671833,0,1,155
300.000000,20.600000,49.969000,41.756529,0,1,300.000000,15.600000,49.969000,41.724682,0,1,156
300.000000,20.700000,50.031000,41.808899,0,1,300.000000,15.700000,50.031000,41.777253,0,1,157
300.000000,20.800000,49.969000,41.860220,0,1,300.000000,15.800000,49.969000,41.828774,0,1,158
