Vehicle_optimal_time_0/Current_pad_speed_0,Vehicle_circuit_time_0/Distance_to_destination_pad_0,Vehicle_current_speed_0/Next_station_pad_0,Vehicle_average_speed_0,Vehicle_departure_station_0,Vehicle_arrival_station_0,Vehicle_optimal_time_1/Current_pad_speed_1,Vehicle_circuit_time_1/Distance_to_destination_pad_1,Vehicle_current_speed_1/Next_station_pad_1,Vehicle_average_speed_1,Vehicle_departure_station_1,Vehicle_arrival_station_1,Vehicle_optimal_time_2/Current_pad_speed_2,Vehicle_circuit_time_2/Distance_to_destination_pad_2,Vehicle_current_speed_2/Next_station_pad_2,Vehicle_average_speed_2,Vehicle_departure_station_2,Vehicle_arrival_station_2,Vehicle_optimal_time_3/Current_pad_speed_3,Vehicle_circuit_time_3/Distance_to_destination_pad_3,Vehicle_current_speed_3/Next_station_pad_3,Vehicle_average_speed_3,Vehicle_departure_station_3,Vehicle_arrival_station_3,Iteration
300,0,0,0,0,1,150,0,0,0,1,2,450,0,0,0,0,2,100,0,0,0,2,0,0
300,1,5,2,0,1,150,1,5,2,1,2,450,1,5,2,0,2,100,1,5,2,2,0,1
300,2,5,2,0,1,150,2,5,2,1,2,450,2,5,2,0,2,100,2,5,2,2,0,2
300,3,5,2,0,1,150,3,5,2,1,2,450,3,5,2,0,2,100,3,5,2,2,0,3
300,4,5,2,0,1,150,4,5,2,1,2,450,4,5,2,0,2,100,4,5,2,2,0,4
300,5,5,1,0,1,150,5,5,1,1,2,450,5,5,1,0,2,100,5,5,1,2,0,5
300,6,5,0,0,1,150,6,5,0,1,2,450,6,5,0,0,2,100,6,5,0,2,0,6
300,7,5,0,0,1,150,7,5,0,1,2,450,7,5,0,0,2,100,7,5,0,2,0,7
300,8,5,0,0,1,150,8,5,0,1,2,450,8,5,0,0,2,100,8,5,0,2,0,8
300,9,5,0,0,1,150,9,5,0,1,2,450,9,5,0,0,2,100,9,5,0,2,0,9
300,10,5,0,0,1,150,10,5,0,1,2,450,10,5,0,0,2,100,10,5,0,2,0,10
300,11,5,0,0,1,150,11,5,0,1,2,450,11,5,0,0,2,100,11,5,0,2,0,11
300,12,5,0,0,1,150,12,5,0,1,2,450,12,5,0,0,2,100,12,5,0,2,0,12
300,13,5,0,0,1,150,13,5,0,1,2,450,13,5,0,0,2,100,13,5,0,2,0,13
300,14,5,0,0,1,150,14,5,0,1,2,450,14,5,0,0,2,100,14,5,0,2,0,14
300,15,5,0,0,1,150,15,5,0,1,2,450,15,5,0,0,2,100,15,5,0,2,0,15
300,16,5,0,0,1,150,16,5,0,1,2,450,16,5,0,0,2,100,16,5,0,2,0,16
300,17,5,0,0,1,150,17,5,0,1,2,450,17,5,0,0,2,100,17,5,0,2,0,17
300,18,5,0,0,1,150,18,5,0,1,2,450,18,5,0,0,2,100,18,5,0,2,0,18
300,19,5,0,0,1,150,19,5,0,1,2,450,19,5,0,0,2,100,19,5,0,2,0,19
